,PLAYER,Pos,GP,G,A,PTS,PS,EV,PPG,SHG,GW,EVA,PPA,SHA,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,CAP HIT,exchange cap
167,Ryan Callahan,RW,65,17,19,36,4.0,9,7,1,3,14,5,0,163,10.4,1212,18:39,60.0,189,13.0,19.0,40.6,4275000,4811430.0
168,Cam Fowler,D,70,6,30,36,6.1,1,4,1,2,19,11,0,100,6.0,1670,23:52,122.0,46,0.0,0.0,,4000000,4458592.0
169,Nino Niederreiter,RW,81,14,22,36,4.2,12,2,0,1,18,4,0,143,9.8,1142,14:06,23.0,175,7.0,19.0,26.9,870000,442651.0
170,Kris Versteeg,RW,81,12,24,36,3.1,11,1,0,1,17,7,0,157,7.6,1171,14:28,23.0,29,56.0,63.0,47.1,4400000,4971811.0
171,Alex Chiasson,RW,79,13,22,35,2.4,7,6,0,4,15,7,0,144,9.0,1194,15:07,21.0,75,64.0,68.0,48.5,866667,438375.0
172,Cody Eakin,C,81,16,19,35,2.8,12,3,1,2,16,3,0,161,9.9,1404,17:20,58.0,90,581.0,632.0,47.9,571667,59876.0
173,Mikhail Grabovski,C,58,13,22,35,4.0,10,3,0,1,17,5,0,81,16.0,914,15:45,22.0,19,346.0,295.0,54.0,3000000,3175544.0
174,Dustin Penner,LW,67,14,21,35,4.7,9,5,0,2,15,6,0,119,11.8,969,14:28,24.0,92,15.0,32.0,31.9,2000000,1892496.0
175,Kimmo Timonen,D,77,6,29,35,6.2,5,1,0,1,9,19,1,152,3.9,1565,20:20,112.0,75,0.0,0.0,,6000000,7024688.0
176,Jason Demers,D,75,5,29,34,6.7,4,1,0,0,20,8,1,105,4.8,1462,19:29,107.0,69,0.0,0.0,,1500000,1250972.0
177,Mark Letestu,C,82,12,22,34,3.2,6,5,1,1,14,6,2,122,9.8,1205,14:41,24.0,63,373.0,352.0,51.4,1250000,930209.0
178,Sean Monahan,C,75,22,12,34,3.6,19,3,0,2,8,4,0,140,15.7,1198,15:59,23.0,42,476.0,560.0,45.9,925000,513219.0
179,Valeri Nichushkin,RW,79,14,20,34,4.1,12,2,0,2,19,1,0,128,10.9,1183,14:58,27.0,85,0.0,1.0,0.0,925000,513219.0
180,Michael Ryder,RW,82,18,16,34,3.7,13,4,1,2,12,4,0,166,10.8,1294,15:47,10.0,51,4.0,8.0,33.3,3500000,3817068.0
181,Mark Scheifele,C,63,13,21,34,3.8,12,1,0,2,18,3,0,100,13.0,1031,16:21,39.0,63,331.0,454.0,42.2,863333,434097.0
182,Drew Stafford,RW,70,16,18,34,3.2,13,2,1,1,13,5,0,185,8.6,1305,18:38,25.0,78,106.0,91.0,53.8,4000000,4458592.0
183,Lee Stempniak,RW,73,12,22,34,2.3,10,0,2,1,15,4,3,178,6.7,1348,18:28,21.0,104,10.0,23.0,30.3,2500000,2534020.0
