Rk,Player,Age,Tm,Pos,GP,G,A,PTS▼,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
309,David Legwand,25,NSH,C,44,7,19,26,3,34,2.0,7,0,0,5,11,8,0,109,6.4,741,16:50,legwada01
310,Matthew Lombardi,23,CGY,C,55,6,20,26,-1,48,2.0,3,1,2,2,15,5,0,72,8.3,778,14:09,lombama01
311,Jamal Mayers,31,STL,C,67,15,11,26,-22,129,1.7,13,0,2,1,9,0,2,111,13.5,1013,15:07,mayerja01
312,Alyn McCauley,28,SJS,C,76,12,14,26,-3,30,1.7,6,4,2,3,10,1,3,105,11.4,1082,14:14,mccaual01
313,Bryan Muir,32,WSH,D,72,8,18,26,-9,72,3.5,4,4,0,0,5,13,0,136,5.9,1524,21:10,muirbr01
314,Robyn Regehr,25,CGY,D,68,6,20,26,6,67,6.3,1,5,0,2,10,10,0,89,6.7,1573,23:08,regehro01
315,Niko Dimitrakos,26,TOT,RW,64,9,16,25,4,32,2.2,8,1,0,1,10,5,1,93,9.7,742,11:36,dimitni01
316,Kim Johnsson,29,PHI,D,47,6,19,25,5,34,4.1,3,3,0,0,9,10,0,97,6.2,1095,23:17,johnski01
317,Viktor Kozlov,30,NJD,LW,69,12,13,25,0,16,2.1,10,2,0,1,8,5,0,122,9.8,934,13:32,kozlovi01
318,Filip Kuba,29,MIN,D,65,6,19,25,0,44,5.7,4,1,1,1,15,3,1,69,8.7,1415,21:46,kubafi01
319,Grant Marshall,32,NJD,RW,76,8,17,25,-18,70,1.0,4,4,0,3,14,3,0,89,9.0,960,12:38,marshgr01
320,Alexander Mogilny,36,NJD,RW,34,12,13,25,-7,6,2.5,5,7,0,3,10,3,0,93,12.9,549,16:09,mogilal01
321,Petr Nedvěd,34,TOT,C,53,7,18,25,-14,70,1.0,4,3,0,1,7,10,1,90,7.8,891,16:48,nedvepe01
322,Corey Perry,20,MDA,RW,56,13,12,25,1,50,2.6,9,4,0,2,5,7,0,98,13.3,648,11:34,perryco01
323,Oleg Saprykin,24,PHX,LW,67,11,14,25,-16,50,1.3,8,3,0,1,9,5,0,126,8.7,918,13:42,sapryol01
324,Tomáš Surový,24,PIT,LW,53,12,13,25,-13,45,1.7,9,3,0,1,8,5,0,107,11.2,720,13:35,surovto01
325,Andy Sutton,30,ATL,D,76,8,17,25,13,144,5.1,5,2,1,3,16,0,1,86,9.3,1602,21:05,suttoan01
326,Fedor Tyutin,22,NYR,D,77,6,19,25,1,58,4.8,2,4,0,2,10,8,1,102,5.9,1583,20:33,tyutife01
327,Aaron Ward,33,CAR,D,71,6,19,25,2,62,4.0,6,0,0,1,17,0,2,60,10.0,1358,19:07,wardaa01
328,Arron Asham,27,NYI,RW,63,9,15,24,-5,103,1.5,6,2,1,0,15,0,0,99,9.1,853,13:33,ashamar01
329,Serge Aubin,30,ATL,C,74,7,17,24,-4,79,1.3,6,1,0,0,14,1,2,82,8.5,821,11:06,aubinse01
330,Éric Desjardins,36,PHI,D,45,4,20,24,3,56,3.6,1,3,0,1,7,10,3,88,4.5,1062,23:36,desjaer01
331,Paul Gaustad,23,BUF,C,78,9,15,24,4,65,1.8,9,0,0,0,14,1,0,113,8.0,946,12:08,gaustpa01
332,Scott Hannan,27,SJS,D,81,6,18,24,7,58,5.4,4,2,0,1,9,8,1,104,5.8,1991,24:34,hannasc01
333,Zbyněk Michálek,23,PHX,D,82,9,15,24,4,62,5.6,4,5,0,2,9,5,1,105,8.6,1872,22:50,michazb01
334,Ville Nieminen,28,TOT,LW,70,8,16,24,7,63,1.8,7,0,1,2,14,1,1,114,7.0,897,12:49,niemivi01
335,Mike Rathje,31,PHI,D,79,3,21,24,22,46,5.2,1,1,1,1,18,3,0,55,5.5,1590,20:08,rathjmi01
336,Luc Robitaille*,39,LAK,LW,65,15,9,24,-6,52,1.8,12,3,0,2,3,6,0,125,12.0,914,14:03,robitlu01
337,Mark Smith,28,SJS,C,80,9,15,24,3,97,1.7,6,2,1,1,11,3,1,100,9.0,964,12:03,smithma01
338,Patrik Štefan,25,ATL,C,64,10,14,24,3,36,1.7,8,2,0,3,12,1,1,81,12.3,885,13:50,stefapa01
339,Jim Vandermeer,25,CHI,D,76,6,18,24,-2,116,4.5,4,2,0,1,18,0,0,93,6.5,1655,21:47,vandeji01
340,Dennis Wideman,22,STL,D,67,8,16,24,-31,83,3.2,2,5,1,1,7,9,0,150,5.3,1453,21:41,widemde01
341,Kevyn Adams,31,CAR,C,82,15,8,23,0,36,1.8,13,0,2,2,7,0,1,160,9.4,1057,12:53,adamske01
342,Steve Bégin,27,MTL,C,76,11,12,23,9,113,1.8,8,1,2,2,9,1,2,134,8.2,1087,14:19,beginst01
343,Christian Ehrhoff,23,SJS,D,64,5,18,23,10,32,4.6,3,2,0,2,7,11,0,124,4.0,1140,17:48,ehrhoch01
344,Todd Fedoruk,26,MDA,LW,76,4,19,23,6,174,1.7,4,0,0,1,17,2,0,69,5.8,639,8:24,fedorto01
345,Mike Grier,31,BUF,RW,81,7,16,23,-7,28,0.7,7,0,0,4,15,0,1,109,6.4,1164,14:22,griermi01
346,Brad Isbister,28,BOS,RW,58,6,17,23,-2,46,1.3,5,1,0,0,15,2,0,112,5.4,807,13:55,isbisbr01
347,Ryan Kesler,21,VAN,C,82,10,13,23,1,79,1.2,9,1,0,2,11,1,1,119,8.4,1152,14:03,keslery01
348,Kyle McLaren,28,SJS,D,77,2,21,23,6,66,4.6,2,0,0,1,16,5,0,67,3.0,1761,22:52,mclarky01
349,Michael Peca,31,EDM,C,71,9,14,23,-4,56,1.0,5,2,2,1,8,4,2,108,8.3,1182,16:39,pecami01
350,Tom Poti,28,NYR,D,73,3,20,23,16,70,5.4,1,2,0,2,8,12,0,122,2.5,1517,20:46,potito01
351,Fredrik Sjöström,22,PHX,RW,75,6,17,23,1,42,1.1,5,1,0,1,15,1,1,109,5.5,999,13:20,sjostfr01
352,Darryl Sydor,33,TBL,D,80,4,19,23,-18,30,3.1,3,1,0,0,13,6,0,64,6.3,1527,19:06,sydorda01
353,Oleg Tverdovsky,29,CAR,D,72,3,20,23,-1,37,3.2,3,0,0,0,8,12,0,91,3.3,1195,16:36,tverdol01
354,Scottie Upshall,22,NSH,RW,48,8,15,23,14,34,2.8,7,1,0,2,14,2,0,72,11.1,501,10:26,upshasc01
355,Jaroslav Balaštík,26,CBJ,LW,66,12,10,22,-1,26,1.8,5,7,0,2,9,1,0,158,7.6,847,12:50,balasja01
356,Francis Bouillon,30,MTL,D,67,3,19,22,-6,34,3.6,0,3,0,1,13,6,0,75,4.0,1392,20:47,bouilfr01
357,Boyd Devereaux,27,PHX,C,78,8,14,22,-13,44,0.7,7,1,0,1,12,2,0,76,10.5,997,12:47,deverbo01
358,Adam Foote,34,CBJ,D,65,6,16,22,-16,89,3.3,2,2,2,1,12,2,2,67,9.0,1597,24:34,footead01
359,Marcel Goc,22,SJS,C,81,8,14,22,-7,22,1.0,6,2,0,2,12,2,0,96,8.3,948,11:42,gocma01
360,Travis Green,35,BOS,C,82,10,12,22,-2,79,0.9,8,0,2,1,11,0,1,118,8.5,1235,15:04,greentr01
