Rk,Player,Age,Tm,Pos,GP,G,A,P,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
326,Ryan Suter,22,NSH,D,82,8,16,24,10,54,5.4,7,1,0,0,6,8,2,87,9.2,1652,20:09,suterry01
327,Maxime Talbot,22,PIT,C,75,13,11,24,-2,53,1.7,9,0,4,4,10,1,0,88,14.8,1042,13:54,talboma01
328,Wes Walz,36,MIN,C,62,9,15,24,3,30,2.2,8,0,1,1,15,0,0,77,11.7,923,14:53,walzwe01
329,Stéphane Yelle,32,CGY,C,56,10,14,24,5,32,2.1,8,1,1,1,12,0,2,55,18.2,819,14:37,yellest01
330,Nikita Alexeev,25,TOT,RW,78,12,11,23,7,12,2.0,10,2,0,2,9,2,0,117,10.3,1075,13:47,alexeni01
331,Arron Asham,28,NYI,RW,80,11,12,23,3,63,2.1,11,0,0,2,10,2,0,85,12.9,746,9:20,ashamar01
332,David Backes,22,STL,C,49,10,13,23,6,37,2.4,8,2,0,2,12,1,0,89,11.2,657,13:25,backeda01
333,Radek Bonk,31,MTL,C,74,13,10,23,0,54,1.8,10,1,2,1,8,1,1,111,11.7,1174,15:52,bonkra01
334,Jan Bulis,28,VAN,C,79,12,11,23,-8,70,1.5,10,1,1,2,9,2,0,122,9.8,1136,14:23,bulisja01
335,Anders Eriksson,32,CBJ,D,79,0,23,23,12,46,5.5,0,0,0,0,14,8,1,78,0.0,1596,20:12,eriksan01
336,Kurtis Foster,25,MIN,D,57,3,20,23,-3,52,4.1,3,0,0,0,7,13,0,135,2.2,1025,17:59,fosteku01
337,Paul Mara,27,TOT,D,78,5,18,23,-16,113,3.6,4,1,0,0,5,13,0,100,5.0,1726,22:08,marapa01
338,Todd Marchant,33,ANA,C,56,8,15,23,7,44,2.0,5,0,3,2,15,0,0,115,7.0,850,15:10,marchto01
339,Mike Zigomanis,26,PHX,C,75,14,9,23,-8,46,1.5,11,2,1,0,8,1,0,142,9.9,1116,14:53,zigommi01
340,Paul Gaustad,24,BUF,C,54,9,13,22,11,74,1.9,6,3,0,0,7,5,1,75,12.0,719,13:19,gaustpa01
341,Kim Johnsson,30,MIN,D,76,3,19,22,-4,64,5.2,0,3,0,0,9,10,0,98,3.1,1790,23:33,johnski01
342,Randy Jones,25,PHI,D,66,4,18,22,-14,38,2.8,4,0,0,0,12,5,1,67,6.0,1062,16:06,jonesra01
343,Niko Kapanen,28,TOT,C,79,6,16,22,-23,28,0.2,4,2,0,1,11,5,0,79,7.6,979,12:24,kapanni01
344,Rostislav Klesla,24,CBJ,D,75,9,13,22,-13,105,4.6,7,2,0,0,10,3,0,159,5.7,1718,22:54,kleslro01
345,Tom Kostopoulos,28,LAK,RW,76,7,15,22,-2,73,1.3,7,0,0,0,14,0,1,90,7.8,879,11:34,kostoto01
346,Niklas Kronwall,26,DET,D,68,1,21,22,0,54,3.8,0,1,0,0,16,5,0,104,1.0,1404,20:39,kronwni01
347,Jamal Mayers,32,STL,RW,80,8,14,22,-19,89,0.1,6,0,2,0,14,0,0,129,6.2,1170,14:37,mayerja01
348,Alexandre Picard,21,PHI,D,62,3,19,22,-19,17,2.4,2,1,0,0,13,6,0,56,5.4,1146,18:29,picaral01
349,Wayne Primeau,30,TOT,C,78,10,12,22,-17,111,0.8,6,2,2,3,11,1,0,107,9.3,1056,13:33,primewa01
350,Brad Richardson,21,COL,RW,73,14,8,22,4,28,2.0,11,0,3,3,8,0,0,129,10.9,961,13:10,richabr02
351,Patrick Rissmiller,28,SJS,C,79,7,15,22,1,22,1.5,6,1,0,0,12,2,1,100,7.0,961,12:10,rissmpa01
352,Brad Stuart,27,TOT,D,75,7,15,22,-10,44,3.8,6,1,0,2,13,1,1,109,6.4,1716,22:53,stuarbr02
353,Josef Vašíček,26,TOT,C,63,6,16,22,-5,51,1.1,6,0,0,0,12,3,1,77,7.8,843,13:23,vasicjo01
354,Dmitry Afanasenkov,26,TOT,LW,74,11,10,21,-25,20,1.0,11,0,0,0,10,0,0,96,11.5,779,10:31,afanadm01
355,Mark Bell,26,SJS,LW,71,11,10,21,-9,83,1.5,8,3,0,2,6,4,0,116,9.5,920,12:57,bellma01
356,Niclas Hävelid,33,ATL,D,77,3,18,21,-2,52,3.7,2,1,0,1,10,7,1,82,3.7,1946,25:16,havelni01
357,Pavel Kubina,29,TOR,D,61,7,14,21,7,48,4.0,3,4,0,1,10,4,0,97,7.2,1300,21:19,kubinpa01
358,Andrew Ladd,21,CAR,LW,65,11,10,21,1,46,2.1,9,2,0,3,9,1,0,109,10.1,728,11:12,laddan01
359,Marek Malík,31,NYR,D,69,2,19,21,32,70,6.6,2,0,0,0,16,1,2,57,3.5,1329,19:16,malikma01
360,Travis Moen,24,ANA,LW,82,11,10,21,-4,101,1.0,11,0,0,0,9,0,1,124,8.9,1214,14:48,moentr01
361,Robyn Regehr,26,CGY,D,78,2,19,21,27,75,5.4,2,0,0,0,12,5,2,66,3.0,1709,21:55,regehro01
362,Steve Rucchin,35,ATL,C,47,5,16,21,-4,14,0.9,4,1,0,1,12,3,1,56,8.9,862,18:20,rucchst01
363,Jaroslav Špaček,32,BUF,D,65,5,16,21,20,62,4.1,4,1,0,2,8,8,0,78,6.4,1245,19:09,spaceja01
364,Darryl Sydor,34,DAL,D,74,5,16,21,-4,36,5.0,3,2,0,1,12,4,0,75,6.7,1491,20:09,sydorda01
365,Brian Willsie,28,LAK,RW,81,11,10,21,-20,49,0.5,9,2,0,1,8,2,0,131,8.4,1084,13:23,willsbr01
366,Mike York,29,TOT,LW,66,10,11,21,-18,22,0.9,8,2,0,2,10,1,0,87,11.5,825,12:30,yorkmi01
367,Richard Zedník,31,TOT,LW,42,7,14,21,-6,18,1.5,6,1,0,1,9,5,0,83,8.4,631,15:01,zedniri01
368,Curtis Brown,30,SJS,C,78,8,12,20,-2,56,1.2,6,0,2,3,10,1,1,84,9.5,1027,13:10,browncu01
369,Ben Clymer,28,WSH,D,66,7,13,20,-17,44,2.1,7,0,0,0,6,7,0,78,9.0,920,13:57,clymebe01
370,Hal Gill,31,TOR,D,82,6,14,20,11,91,4.2,6,0,0,1,13,0,1,79,7.6,1549,18:53,gillha01
371,Dan Hamhuis,24,NSH,D,81,6,14,20,8,66,4.7,6,0,0,1,14,0,0,84,7.1,1728,21:20,hamhuda01
372,Petteri Nummelin,34,MIN,D,51,3,17,20,-15,22,2.9,3,0,0,0,4,13,0,69,4.3,1035,20:17,nummepe01
373,Marty Reasoner,29,EDM,C,72,6,14,20,-15,60,0.6,6,0,0,1,12,0,2,84,7.1,999,13:52,reasoma01
374,Gilbert Brulé,20,CBJ,C,78,9,10,19,-21,28,0.7,6,3,0,0,6,4,0,98,9.2,830,10:39,brulegi01
375,Boyd Devereaux,28,TOR,C,33,8,11,19,4,12,1.9,8,0,0,0,10,1,0,57,14.0,504,15:17,deverbo01
376,Pascal Dupuis,27,TOT,LW,71,14,5,19,-17,42,1.0,10,2,2,1,3,1,1,156,9.0,1103,15:32,dupuipa01
377,Loui Eriksson,21,DAL,LW,59,6,13,19,-3,18,1.3,4,2,0,0,10,3,0,78,7.7,778,13:11,erikslo01
378,Ken Klee,35,COL,D,81,3,16,19,18,68,4.8,3,0,0,0,15,0,1,90,3.3,1671,20:38,kleeke01
379,Chuck Kobasew,24,TOT,RW,50,5,14,19,1,62,1.1,3,2,0,1,8,6,0,93,5.4,717,14:20,kobasch01
380,Mike Komisarek,25,MTL,D,82,4,15,19,7,96,4.8,2,0,2,1,13,0,2,78,5.1,1580,19:16,komismi01
381,Toni Lydman,29,BUF,D,67,2,17,19,10,55,2.8,2,0,0,1,14,2,1,44,4.5,1380,20:36,lydmato01
382,Jiří Novotný,23,TOT,C,68,6,13,19,-4,28,0.5,6,0,0,0,13,0,0,79,7.6,879,12:56,novotji01
383,Patrick O'Sullivan,21,LAK,C,44,5,14,19,-6,14,1.1,3,2,0,1,7,7,0,92,5.4,619,14:04,osullpa01
384,Travis Roche,28,PHX,D,50,6,13,19,2,22,3.6,4,2,0,1,6,7,0,32,18.8,851,17:01,rochetr01
385,Jim Slater,24,ATL,C,74,5,14,19,8,62,1.4,5,0,0,2,13,1,0,90,5.6,757,10:14,slateji01
386,Anton Volchenkov,24,OTT,D,78,1,18,19,37,67,5.4,1,0,0,0,13,1,4,85,1.2,1660,21:17,volchan01
387,Jason Ward,28,TOT,RW,70,8,11,19,-15,40,0.7,7,0,1,1,9,1,1,108,7.4,883,12:37,wardja01
388,Christian Bäckman,26,STL,D,61,7,11,18,13,36,4.7,6,1,0,0,8,3,0,80,8.8,1352,22:10,backmch01
389,Marcel Hossa,25,NYR,LW,64,10,8,18,-4,26,1.4,7,3,0,2,6,1,1,83,12.0,797,12:27,hossama02
390,Brooks Laich,23,WSH,C,73,8,10,18,-2,29,0.7,3,2,3,0,8,1,1,119,6.7,993,13:36,laichbr01
391,Chad Larose,24,CAR,C,80,6,12,18,-2,10,1.0,4,0,2,0,10,0,2,94,6.4,817,10:13,larosch01
392,Brett Lebda,25,DET,D,74,5,13,18,16,61,4.8,4,1,0,2,13,0,0,107,4.7,1103,14:54,lebdabr01
393,Jaroslav Modrý,35,TOT,D,76,1,17,18,11,54,5.1,1,0,0,0,9,7,1,89,1.1,1434,18:52,modryja01
394,Dave Moss,25,CGY,LW,41,10,8,18,5,12,2.2,7,3,0,1,7,1,0,70,14.3,460,11:13,mossda01
395,Fredrik Sjöström,23,PHX,RW,78,9,9,18,-11,48,0.4,7,2,0,1,9,0,0,125,7.2,1101,14:07,sjostfr01
396,Alexander Svitov,24,CBJ,C,76,7,11,18,-10,145,0.5,6,1,0,2,8,3,0,83,8.4,1047,13:47,svitoal01
397,Stéphane Veilleux,25,MIN,LW,75,7,11,18,3,47,1.3,7,0,0,1,10,0,1,84,8.3,922,12:17,veillst01
398,Rene Bourque,25,CHI,LW,44,7,10,17,-4,38,1.1,4,2,1,1,8,2,0,82,8.5,705,16:01,bourqre01
399,Keith Carney,36,MIN,D,80,4,13,17,22,58,6.0,4,0,0,1,11,0,2,31,12.9,1242,15:31,carneke01
400,Carlo Colaiacovo,24,TOR,D,48,8,9,17,5,22,3.3,8,0,0,1,4,5,0,60,13.3,862,17:57,colaica01
401,Shean Donovan,32,BOS,RW,76,6,11,17,-13,56,0.1,6,0,0,0,9,0,2,108,5.6,1076,14:09,donovsh01
402,Steve Eminger,23,WSH,D,68,1,16,17,-14,63,1.6,1,0,0,0,13,0,3,27,3.7,1288,18:56,emingst01
403,Valtteri Filppula,22,DET,C,73,10,7,17,8,20,1.6,10,0,0,1,7,0,0,76,13.2,822,11:16,filppva01
404,Adam Hall,26,TOT,RW,72,6,11,17,-11,26,0.5,3,3,0,0,7,3,1,103,5.8,891,12:23,hallad01
405,Radek Martínek,30,NYI,D,43,2,15,17,19,40,4.0,2,0,0,0,9,4,2,44,4.5,856,19:54,martira01
406,Kyle McLaren,29,SJS,D,67,5,12,17,10,61,5.1,4,1,0,0,11,1,0,43,11.6,1435,21:25,mclarky01
407,Dominic Moore,26,TOT,C,69,8,9,17,4,56,1.1,8,0,0,1,9,0,0,111,7.2,873,12:39,mooredo01
408,Mark Mowers,32,BOS,RW,78,5,12,17,-10,26,0.3,4,0,1,0,11,1,0,60,8.3,936,12:00,mowerma01
409,Sean O'Donnell,35,ANA,D,79,2,15,17,9,92,4.6,2,0,0,1,14,0,1,47,4.3,1574,19:55,odonnse01
410,Stéphane Robidas,29,DAL,D,75,0,17,17,-1,86,4.1,0,0,0,0,6,11,0,106,0.0,1355,18:04,robidst01
411,Tony Salmelainen,25,CHI,LW,57,6,11,17,-3,26,1.3,6,0,0,1,10,1,0,54,11.1,563,9:52,salmeto01
412,Steve Staios,33,EDM,D,58,2,15,17,-5,97,3.7,2,0,0,0,13,2,0,71,2.8,1240,21:23,staiost01
413,Brian Sutherby,24,WSH,C,69,7,10,17,-9,78,0.3,6,1,0,0,10,0,0,87,8.0,945,13:41,suthebr01
414,David Tanabe,26,CAR,D,60,5,12,17,5,44,3.7,3,2,0,0,8,4,0,83,6.0,1068,17:48,tanabda01
415,Adrian Aucoin,33,CHI,D,59,4,12,16,-22,50,1.7,2,2,0,3,6,6,0,96,4.2,1229,20:50,aucoiad01
416,Ryan Kesler,22,VAN,C,48,6,10,16,1,40,1.1,6,0,0,0,10,0,0,88,6.8,789,16:26,keslery01
417,Lukáš Krajíček,23,VAN,D,78,3,13,16,-4,64,3.9,2,1,0,2,9,4,0,105,2.9,1444,18:31,krajilu01
418,Danny Markov,30,DET,D,66,4,12,16,25,59,5.3,4,0,0,0,11,0,1,66,6.1,1246,18:53,markoda01
419,Steve McCarthy,25,ATL,D,46,4,12,16,4,24,2.9,1,3,0,0,4,8,0,51,7.8,703,15:17,mccarst01
420,Rob Niedermayer,32,ANA,C,82,5,11,16,-8,77,-0.5,5,0,0,0,11,0,0,106,4.7,1365,16:39,niedero01
421,Shane O'Brien,23,TOT,D,80,2,14,16,-3,176,3.0,1,1,0,2,11,3,0,72,2.8,1198,14:59,obriesh01
422,Jarkko Ruutu,31,PIT,LW,81,7,9,16,0,125,0.9,7,0,0,2,9,0,0,63,11.1,756,9:20,ruutuja01
