Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,-9999
288,Daniel Paille,24,BUF,LW,73,12,15,27,0,20,2.6,12,0,0,2,13,0,2,80,15.0,869,11:54,27,84,3,14,17.6,paillda01
289,Kyle Wellwood,25,VAN,C,74,18,9,27,2,4,2.9,8,10,0,3,6,3,0,94,19.1,1021,13:48,19,14,350,264,57.0,wellwky01
290,Troy Brouwer,23,CHI,RW,69,10,16,26,7,50,2.0,5,4,1,0,12,4,0,126,7.9,1041,15:05,19,125,9,11,45.0,brouwtr01
291,Matt Carle,24,TOT,D,76,5,21,26,3,22,4.6,5,0,0,2,13,8,0,85,5.9,1626,21:24,142,38,0,0,,carlema01
292,Steve Eminger,25,TOT,D,71,5,21,26,-3,50,4.1,3,2,0,1,11,10,0,85,5.9,1535,21:37,119,77,0,1,0.0,emingst01
293,Dan Hamhuis,26,NSH,D,82,3,23,26,-4,67,5.1,1,1,1,1,17,5,1,135,2.2,1873,22:50,113,133,0,0,,hamhuda01
294,Guillaume Latendresse,21,MTL,RW,56,14,12,26,4,45,3.1,13,1,0,2,9,3,0,117,12.0,762,13:37,12,140,1,1,50.0,latengu01
295,Jay McClement,25,STL,C,82,12,14,26,-10,29,1.5,9,0,3,3,14,0,0,137,8.8,1361,16:36,57,38,756,695,52.1,mccleja01
296,Ethan Moreau,33,EDM,LW,77,14,12,26,0,133,1.9,13,0,1,2,12,0,0,159,8.8,1183,15:22,41,126,11,25,30.6,moreaet01
297,Wade Redden,31,NYR,D,81,3,23,26,-5,51,5.6,1,2,0,0,16,6,1,161,1.9,1809,22:20,98,99,0,0,,reddewa01
298,Stéphane Robidas,31,DAL,D,72,3,23,26,10,76,5.4,2,1,0,0,14,8,1,158,1.9,1767,24:32,109,221,1,0,100.0,robidst01
299,Brent Seabrook,23,CHI,D,82,8,18,26,23,62,6.7,4,3,1,1,13,5,0,132,6.1,1912,23:19,113,224,0,0,,seabrbr01
300,Ian White,24,TOR,D,71,10,16,26,6,57,4.9,8,2,0,2,12,3,1,158,6.3,1622,22:51,114,108,0,0,,whiteia01
301,Josh Bailey,19,NYI,C,68,7,18,25,-14,16,1.0,4,3,0,0,10,8,0,74,9.5,1053,15:29,43,47,332,475,41.1,bailejo01
302,Radek Bonk,33,NSH,C,66,9,16,25,-12,34,1.4,3,6,0,2,12,3,1,102,8.8,1019,15:27,28,58,450,301,59.9,bonkra01
303,Derick Brassard,21,CBJ,C,31,10,15,25,12,17,3.4,7,3,0,1,11,4,0,59,16.9,447,14:25,3,40,161,171,48.5,brassde01
304,Daniel Brière,31,PHI,C,29,11,14,25,-1,26,3.0,7,4,0,0,8,6,0,54,20.4,454,15:39,6,13,68,79,46.3,brierda01
305,Blake Comeau,22,NYI,LW,53,7,18,25,-17,32,1.2,5,2,0,0,11,7,0,78,9.0,863,16:17,18,90,14,31,31.1,comeabl01
306,Trevor Daley,25,DAL,D,75,7,18,25,2,73,5.0,7,0,0,2,16,1,1,104,6.7,1650,22:00,98,30,0,1,0.0,daleytr01
307,Eric Fehr,23,WSH,RW,61,12,13,25,8,22,2.9,11,1,0,2,12,1,0,134,9.0,686,11:15,10,24,1,2,33.3,fehrer01
308,Fredrik Modin,34,CBJ,LW,50,9,16,25,2,28,2.2,7,2,0,0,11,5,0,113,8.0,844,16:53,26,23,49,73,40.2,modinfr01
309,Mattias Öhlund,32,VAN,D,82,6,19,25,14,105,5.8,3,3,0,1,13,5,1,131,4.6,1769,21:34,150,108,0,0,,ohlunma01
310,Sami Salo,34,VAN,D,60,5,20,25,5,26,4.5,0,5,0,2,11,9,0,110,4.5,1211,20:11,65,44,0,0,,salosa01
311,Sean Bergenheim,24,NYI,LW,59,15,9,24,-2,64,2.6,11,0,4,5,9,0,0,152,9.9,841,14:15,32,83,9,13,40.9,bergese01
312,Mike Commodore,29,CBJ,D,81,5,19,24,11,100,5.6,5,0,0,0,17,2,0,103,4.9,1854,22:54,162,201,2,1,66.7,commomi01
313,Kim Johnsson,32,MIN,D,81,2,22,24,-3,44,6.1,1,1,0,0,15,5,2,93,2.2,1987,24:32,142,36,0,0,,johnski01
314,Jere Lehtinen,35,DAL,RW,48,8,16,24,1,8,1.7,6,2,0,1,11,5,0,119,6.7,912,19:00,25,25,2,5,28.6,lehtije01
315,Jordan Leopold,28,TOT,D,83,7,17,24,-15,24,4.1,6,1,0,1,13,3,1,107,6.5,1561,18:48,100,65,0,0,,leopojo01
316,Craig Rivet,34,BUF,D,64,2,22,24,4,125,4.3,1,1,0,0,11,10,1,80,2.5,1295,20:14,73,57,0,0,,rivetcr01
317,James Sheppard,20,MIN,C,82,5,19,24,-14,41,0.8,5,0,0,1,16,3,0,88,5.7,1245,15:11,47,69,361,509,41.5,sheppja01
318,James Wisniewski,24,TOT,D,48,3,21,24,9,30,4.2,2,1,0,0,11,10,0,89,3.4,953,19:51,60,90,0,0,,wisnija01
319,Jeff Finger,29,TOR,D,66,6,17,23,-7,43,3.0,6,0,0,0,15,2,0,68,8.8,1352,20:29,158,133,0,0,,fingeje01
320,Marián Gáborík,26,MIN,RW,17,13,10,23,3,2,3.4,10,2,1,2,5,5,0,68,19.1,340,20:00,5,15,0,5,0.0,gaborma01
321,Josh Gorges,24,MTL,D,81,4,19,23,12,37,5.3,2,2,0,0,15,3,1,63,6.3,1630,20:08,161,94,0,1,0.0,gorgejo01
322,Mike Grier,34,SJS,RW,62,10,13,23,8,25,2.2,9,0,1,2,10,0,3,108,9.3,930,15:00,34,147,15,28,34.9,griermi01
323,Chris Higgins,25,MTL,LW,57,12,11,23,-1,22,2.0,8,2,2,1,9,2,0,151,7.9,969,17:00,39,79,29,28,50.9,higgich01
324,Chris Kelly,28,OTT,C,82,12,11,23,-10,38,1.3,11,0,1,1,9,0,2,118,10.2,1279,15:36,59,97,234,260,47.4,kellych01
325,Sergei Kostitsyn,21,MTL,LW,56,8,15,23,-3,64,1.8,3,5,0,1,10,5,0,74,10.8,792,14:08,21,49,3,6,33.3,kostise01
326,Toni Lydman,31,BUF,D,80,3,20,23,0,70,4.5,3,0,0,0,14,5,1,99,3.0,1742,21:47,166,165,0,0,,lydmato01
327,John Madden,35,NJD,C,76,7,16,23,-7,26,0.6,6,0,1,2,14,0,2,132,5.3,1248,16:25,49,64,599,561,51.6,maddejo01
328,Willie Mitchell,31,VAN,D,82,3,20,23,29,59,6.6,3,0,0,1,20,0,0,88,3.4,1879,22:55,125,81,0,1,0.0,mitchwi01
329,Éric Perrin,33,ATL,C,78,7,16,23,-2,36,0.8,5,1,1,0,12,1,3,109,6.4,1106,14:11,28,47,111,102,52.1,perrier01
330,Mason Raymond,23,VAN,LW,72,11,12,23,2,24,1.8,7,4,0,0,6,6,0,145,7.6,987,13:43,18,42,17,33,34.0,raymoma01
331,Wayne Simmonds,20,LAK,RW,82,9,14,23,-8,73,1.5,7,2,0,2,10,3,1,127,7.1,1135,13:50,42,132,9,16,36.0,simmowa01
332,Stéphane Veilleux,27,MIN,LW,81,13,10,23,-17,40,1.3,12,0,1,1,9,1,0,146,8.9,1280,15:48,31,98,6,16,27.3,veillst01
333,Ryan Whitney,25,TOT,D,48,2,21,23,-14,28,2.2,1,1,0,0,11,10,0,71,2.8,1146,23:52,69,37,0,0,,whitnry01
334,Tyler Arnason,29,COL,C,71,5,17,22,-16,14,0.8,3,2,0,1,16,1,0,108,4.6,945,13:19,15,6,332,389,46.0,arnasty01
335,Sean Avery,28,TOT,LW,41,8,14,22,6,111,2.3,6,2,0,0,11,3,0,99,8.1,646,15:45,7,89,9,9,50.0,averyse01
336,Dustin Boyd,22,CGY,C,71,11,11,22,-11,10,1.3,9,1,1,3,8,2,1,74,14.9,914,12:52,29,43,215,253,45.9,boyddu01
337,Jason Chimera,29,CBJ,LW,49,8,14,22,8,41,2.1,7,1,0,1,13,1,0,115,7.0,796,16:15,11,61,18,24,42.9,chimeja01
338,B.J. Crombeen,23,TOT,RW,81,12,10,22,-9,148,1.6,11,0,1,3,8,2,0,124,9.7,1031,12:43,14,87,3,4,42.9,crombbj01
339,Dan Girardi,24,NYR,D,82,4,18,22,-14,53,4.5,2,2,0,1,13,5,0,122,3.3,1765,21:32,82,207,0,0,,girarda01
340,Tom Kostopoulos,30,MTL,RW,78,8,14,22,-1,106,1.2,7,0,1,0,13,0,1,121,6.6,1103,14:09,42,167,5,11,31.3,kostoto01
341,Michael Peca,34,CBJ,C,71,4,18,22,-6,58,0.7,4,0,0,2,16,1,1,74,5.4,1001,14:06,56,54,417,422,49.7,pecami01
342,Chris Phillips,30,OTT,D,82,6,16,22,-14,66,4.2,5,0,1,0,11,3,2,88,6.8,1793,21:52,114,113,0,0,,phillch02
343,Maxime Talbot,24,PIT,C,75,12,10,22,-9,63,1.1,10,0,2,1,9,1,0,102,11.8,1060,14:08,47,115,277,265,51.1,talboma01
344,Brendan Bell,25,OTT,D,53,6,15,21,-5,24,3.7,1,5,0,1,5,10,0,76,7.9,940,17:44,36,29,0,0,,bellbr02
345,Nick Boynton,30,FLA,D,68,5,16,21,7,91,4.2,5,0,0,1,13,3,0,104,4.8,1129,16:36,97,52,0,0,,boyntni01
