,PLAYER,Pos,GP,G,A,PTS,PS,EV,PPG,SHG,GW,EVA,PPA,SHA,S,S%,TOI,ATOI,CAP HIT,exchange cap
237,Marcel Goc,C,78,5,8,13,0.3,4,0,1,0,8,0,0,96,5.2,937,12:01,787500,632812
238,Jamie Lundmark,C,68,7,6,13,0,7,0,0,0,4,2,0,81,8.6,801,11:47,0,-843750
239,Shaone Morrisonn,D,78,3,10,13,2.9,3,0,0,0,9,0,1,46,6.5,1634,20:57,900000,843750
240,Trevor Daley,D,74,4,8,12,4.4,4,0,0,1,6,2,0,68,5.9,1434,19:23,787500,632812
241,Dallas Drake,RW,60,6,6,12,-0.1,4,0,2,2,5,0,1,74,8.1,773,12:53,1100000,1218750
242,Adam Foote,D,59,3,9,12,2.2,1,2,0,0,4,5,0,78,3.8,1459,24:44:00,4600000,7781250
243,Mike Green,D,70,2,10,12,1.3,2,0,0,0,4,6,0,68,2.9,1084,15:29,833333,718749
244,Shane Hnidy,D,72,5,7,12,3.8,4,0,1,1,7,0,0,86,5.8,1126,15:38,0,-843750
245,Maxim Lapierre,C,46,6,6,12,0.7,5,0,1,2,6,0,0,82,7.3,525,11:25,583333,249999
246,Brad Lukowich,D,75,4,8,12,4.5,3,0,1,2,7,1,0,50,8,1517,20:13,0,-843750
247,Josef Melichar,D,70,1,11,12,2.5,1,0,0,0,9,1,1,57,1.8,1317,18:49,0,-843750
248,Jerred Smithson,C,64,5,7,12,0,3,1,1,2,7,0,0,47,10.6,707,11:03,450000,0
249,Todd Bertuzzi,RW,15,3,8,11,1,2,1,0,0,4,4,0,23,13,240,16:00,5269080,9035775
250,Nick Boynton,D,59,2,9,11,1.3,1,1,0,0,9,0,0,53,3.8,991,16:48,2950000,4687500
251,Braydon Coburn,D,49,3,8,11,2.1,2,1,0,0,5,3,0,54,5.6,758,15:29,746100,555187
252,Ben Eager,LW,63,6,5,11,0.3,6,0,0,0,5,0,0,48,12.5,519,8:14,624000,326250
253,Doug Janik,D,75,2,9,11,1.5,2,0,0,0,9,0,0,49,4.1,1085,14:28,0,-843750
254,Willie Mitchell,D,62,1,10,11,3.4,1,0,0,0,9,0,1,54,1.9,1377,22:13,3500000,5718750
255,Johnny Oduya,D,76,2,9,11,3.5,2,0,0,0,7,2,0,55,3.6,1407,18:31,505000,103125
256,Rob Scuderi,D,78,1,10,11,2.6,1,0,0,0,9,0,1,31,3.2,1467,18:49,525000,140625
257,Jason Smith,D,82,2,9,11,3.3,2,0,0,1,9,0,0,61,3.3,1733,21:08,1976000,2861250
258,Andrew Alberts,D,76,0,10,10,1.5,0,0,0,0,9,1,0,41,0,1495,19:40,661300,396187
259,Shawn Bates,C,48,4,6,10,0.7,3,0,1,0,6,0,0,50,8,601,12:32,1200000,1406250
260,David Booth,LW,48,3,7,10,0.4,3,0,0,1,7,0,0,86,3.5,459,9:34,600000,281250
261,Garnet Exelby,D,58,2,8,10,2.2,1,0,1,0,8,0,0,57,3.5,1044,18:00,0,-843750
262,Aaron Johnson,D,61,3,7,10,1.7,3,0,0,0,6,1,0,52,5.8,776,12:44,450000,0
263,Niclas Wallin,D,67,2,8,10,2.3,2,0,0,0,8,0,0,76,2.6,1242,18:33,1725000,2390625
264,Duvie Westcott,D,23,4,6,10,1.1,2,2,0,1,2,4,0,34,11.8,509,22:09,500000,93750
265,James Wisniewski,D,50,2,8,10,2.6,2,0,0,0,7,1,0,55,3.6,950,19:00,567000,219375
266,Alexandre Burrows,LW,81,3,6,9,-0.5,3,0,0,1,5,1,0,70,4.3,927,11:26,483333,62499
267,Gregory Campbell,C,79,6,3,9,-0.5,5,0,1,0,3,0,0,103,5.8,835,10:34,500000,93750
268,Mike Rupp,RW,76,6,3,9,0.4,6,0,0,1,2,1,0,60,10,490,6:27,0,-843750
269,Jeff Tambellini,LW,23,2,7,9,1,2,0,0,0,7,0,0,20,10,166,7:14,816033,686311
270,Jordin Tootoo,RW,65,3,6,9,-0.3,3,0,0,0,6,0,0,77,3.9,546,8:24,600000,281250
271,Cam Barker,D,35,1,7,8,0.7,0,1,0,0,2,5,0,38,2.6,676,19:19,885767,817063
272,Lawrence Nycholat,D,19,2,6,8,1.1,2,0,0,0,4,2,0,25,8,382,20:07,0,-843750
273,Dave Scatchard,C,46,3,5,8,-0.7,3,0,0,1,4,0,1,77,3.9,622,13:31,2100000,3093750
274,Dennis Seidenberg,D,52,2,6,8,0.6,2,0,0,0,6,0,0,83,2.4,841,16:10,800000,656250
275,Colin White,D,69,0,8,8,3,0,0,0,0,8,0,0,47,0,1550,22:28,3000000,4781250
276,Greg Zanon,D,66,3,5,8,3.3,3,0,0,0,5,0,0,43,7,1144,17:20,450000,0
277,Brendan Bell,D,45,1,6,7,0.4,0,1,0,0,5,1,0,47,2.1,616,13:41,0,-843750
278,Eric Boulton,LW,45,3,4,7,0.6,3,0,0,0,4,0,0,42,7.1,282,6:16,500000,93750
279,Daniel Carcillo,LW,18,4,3,7,0.4,1,3,0,0,3,0,0,32,12.5,269,14:56,516667,125000
280,Jassen Cullimore,D,65,1,6,7,1.5,1,0,0,0,6,0,0,17,5.9,1058,16:17,1900000,2718750
281,Matt Jones,D,45,1,6,7,0.6,1,0,0,0,5,0,1,20,5,737,16:23,0,-843750
282,Clarke MacArthur,LW,19,3,4,7,0.8,3,0,0,0,4,0,0,16,18.8,169,8:54,608333,296874
283,Bryce Salvador,D,64,2,5,7,1.5,2,0,0,0,5,0,0,40,5,1263,19:44,1400000,1781250
284,Pierre Turgeon,C,17,4,3,7,0.8,3,1,0,0,1,2,0,31,12.9,173,10:10,0,-843750
285,Jeff Woywitka,D,34,1,6,7,1.5,1,0,0,0,6,0,0,28,3.6,502,14:45,0,-843750
286,Ryan Callahan,RW,14,4,2,6,1,4,0,0,1,2,0,0,40,10,147,10:31,575000,234375
287,Bruno Gervais,D,51,0,6,6,0.3,0,0,0,0,3,3,0,47,0,784,15:23,477333,51249
288,Tom Gilbert,D,12,1,5,6,1.1,1,0,0,0,4,1,0,13,7.7,241,20:05,782500,623437
289,Dan Girardi,D,34,0,6,6,1.9,0,0,0,0,5,0,1,33,0,538,15:50,537500,164062
290,Tim Gleason,D,57,2,4,6,1.1,1,1,0,0,2,1,1,72,2.8,1076,18:53,1175000,1359375
291,Andy Greene,D,23,1,5,6,1.2,0,1,0,0,4,1,0,23,4.3,328,14:15,850000,750000
292,Brooks Orpik,D,70,0,6,6,1.9,0,0,0,0,4,2,0,59,0,1163,16:37,1037500,1101562
293,Kurt Sauer,D,48,0,6,6,1,0,0,0,0,5,0,1,29,0,880,18:20,0,-843750
294,Andreas Lilja,D,57,0,5,5,1.9,0,0,0,0,5,0,0,37,0,878,15:25,1000000,1031250
295,Alexei Semenov,D,23,0,5,5,1.4,0,0,0,0,4,1,0,23,0,285,12:22,0,-843750
296,Chris Thorburn,C,39,3,2,5,0.3,3,0,0,1,2,0,0,40,7.5,308,7:54,450000,0
297,Ole-Kristian Tollefsen,D,70,2,3,5,2.3,1,1,0,0,3,0,0,39,5.1,996,14:14,511800,115875
298,Dustin Boyd,C,13,2,2,4,0.6,2,0,0,1,2,0,0,8,25,132,10:09,625000,328125
299,Marc Chouinard,C,42,2,2,4,-0.1,1,1,0,0,2,0,0,15,13.3,396,9:26,1100000,1218750
300,David Clarkson,RW,7,3,1,4,0.5,1,2,0,1,1,0,0,18,16.7,119,17:02,538333,165624
301,Denis Gauthier,D,43,0,4,4,0.3,0,0,0,0,2,0,2,23,0,716,16:39,2100000,3093750
302,Darcy Hordichuk,LW,53,1,3,4,-0.1,1,0,0,0,3,0,0,22,4.5,255,4:48,0,-843750
303,Marc Methot,D,20,0,4,4,1.2,0,0,0,0,4,0,0,11,0,293,14:38,541667,171875
304,Steve Ott,C,19,0,4,4,0,0,0,0,0,3,1,0,17,0,175,9:11,787500,632812
305,Wade Belak,D,65,0,3,3,-0.2,0,0,0,0,3,0,0,16,0,327,5:02,0,-843750
306,Dustin Byfuglien,D,9,1,2,3,0.4,1,0,0,0,0,2,0,18,5.6,156,17:18,608333,296874
307,Chris Conner,RW,11,1,2,3,0.1,1,0,0,0,2,0,0,18,5.6,124,11:15,470000,37500
308,Alexander Edler,D,22,1,2,3,1,1,0,0,0,2,0,0,10,10,252,11:27,550000,187500
309,Eric Fehr,RW,14,2,1,3,0.4,2,0,0,1,1,0,0,25,8,150,10:43,894933,834249
310,Ryan Hollweg,C,78,1,2,3,-1.1,1,0,0,0,2,0,0,63,1.6,643,8:14,0,-843750
311,Blair Jones,C,20,1,2,3,0.2,1,0,0,0,2,0,0,6,16.7,115,5:46,501667,96875
312,Jon Klemm,D,38,1,2,3,1.3,1,0,0,0,2,0,0,25,4,496,13:03,0,-843750
313,Branislav Mezei,D,45,0,3,3,1.1,0,0,0,0,3,0,0,24,0,718,15:58,0,-843750
314,Douglas Murray,D,35,0,3,3,0.9,0,0,0,0,2,1,0,18,0,377,10:46,550000,187500
315,Janne Niinimaa,D,41,0,3,3,0,0,0,0,0,3,0,0,29,0,609,14:51,0,-843750
316,Colton Orr,RW,53,2,1,3,0,2,0,0,1,1,0,0,23,8.7,282,5:20,495000,84375
317,Jeff Schultz,D,38,0,3,3,1.1,0,0,0,0,3,0,0,22,0,692,18:13,750000,562500
318,Bryan Bickell,LW,3,2,0,2,0.4,2,0,0,0,0,0,0,10,20,35,11:49,716667,500000
319,Kyle Cumiskey,D,9,1,1,2,0.4,1,0,0,0,1,0,0,8,12.5,121,13:28,491667,78125
320,Josh Gratton,LW,52,1,1,2,-0.6,1,0,0,0,1,0,0,29,3.4,307,5:54,0,-843750
321,Nate Guenin,D,9,0,2,2,0.3,0,0,0,0,2,0,0,0,,78,8:40,585000,253125
322,Patrick Kaleta,RW,7,0,2,2,0.2,0,0,0,0,2,0,0,6,0,48,6:49,491667,78125
323,Kris Letang,D,7,2,0,2,0.2,0,2,0,0,0,0,0,8,25,81,11:33,638333,353124
324,Enver Lisin,RW,17,1,1,2,-0.9,0,1,0,0,1,0,0,35,2.9,256,15:02,850000,750000
325,Brian McGrattan,RW,45,0,2,2,-0.2,0,0,0,0,2,0,0,22,0,174,3:51,525000,140625
326,Frans Nielsen,C,15,1,1,2,0.1,1,0,0,1,1,0,0,16,6.3,78,5:13,535000,159375
327,Scott Parker,RW,21,1,1,2,0.1,1,0,0,0,1,0,0,5,20,112,5:19,0,-843750
328,Andrew Peters,LW,58,1,1,2,-0.2,1,0,0,0,1,0,0,19,5.3,219,3:46,460000,18750
329,Keith Yandle,D,7,0,2,2,0.3,0,0,0,0,0,2,0,10,0,141,20:10,610000,300000
330,Derek Boogaard,LW,48,0,1,1,-0.2,0,0,0,0,1,0,0,11,0,222,4:38,0,-843750
331,Tim Connolly,C,2,1,0,1,0.2,1,0,0,0,0,0,0,2,50,26,13:07,2900000,4593750
332,Curtis Glencross,LW,9,1,0,1,-0.1,1,0,0,0,0,0,0,8,12.5,82,9:09,655500,385312
333,David Hale,D,54,0,1,1,1,0,0,0,0,1,0,0,33,0,590,10:55,0,-843750
334,Cam Janssen,RW,48,1,0,1,-0.1,1,0,0,0,0,0,0,9,11.1,197,4:06,450000,0
335,Kevin Klein,D,3,1,0,1,0.5,1,0,0,0,0,0,0,2,50,50,16:37,441333,-16250
336,Alyn McCauley,C,10,1,0,1,0,1,0,0,0,0,0,0,4,25,97,9:43,2000000,2906250
337,Robert Nilsson,C,4,1,0,1,0.1,1,0,0,0,0,0,0,8,12.5,69,17:21,0,-843750
338,Rich Peverley,C,13,0,1,1,-0.1,0,0,0,0,1,0,0,9,0,98,7:31,470000,37500
339,Kyle Quincey,D,6,1,0,1,0.3,1,0,0,0,0,0,0,7,14.3,69,11:26,520000,131250
340,Zack Stortini,RW,29,1,0,1,-0.4,1,0,0,0,0,0,0,17,5.9,207,7:09,534333,158124
341,Mark Stuart,D,15,0,1,1,0.8,0,0,0,0,1,0,0,4,0,156,10:23,942400,923250
342,Mike Blunden,RW,9,0,0,0,-0.4,0,0,0,0,0,0,0,10,0,102,11:23,701667,471875
343,Dave Bolland,C,1,0,0,0,-0.1,0,0,0,0,0,0,0,1,0,11,11:17,845833,742186
344,Troy Brouwer,RW,10,0,0,0,-0.5,0,0,0,0,0,0,0,7,0,99,9:55,675000,421875
345,Adam Burish,RW,9,0,0,0,-0.3,0,0,0,0,0,0,0,12,0,100,11:08,575000,234375
346,Blake Comeau,RW,3,0,0,0,-0.1,0,0,0,0,0,0,0,1,0,28,9:25,691667,453125
347,Brandon Dubinsky,C,6,0,0,0,-0.1,0,0,0,0,0,0,0,9,0,49,8:10,633333,343749
348,Matt Ellis,LW,16,0,0,0,-0.2,0,0,0,0,0,0,0,22,0,89,5:35,450000,0
349,Colin Fraser,C,1,0,0,0,0,0,0,0,0,0,0,0,0,,3,3:18,633333,343749
350,Mikhail Grabovski,C,3,0,0,0,-0.1,0,0,0,0,0,0,0,5,0,40,13:18,687500,445312
351,Nicklas Grossmann,D,8,0,0,0,0.1,0,0,0,0,0,0,0,8,0,103,12:49,591667,265625
352,Jack Johnson,D,5,0,0,0,-0.3,0,0,0,0,0,0,0,5,0,107,21:23,850000,750000
353,Jay McKee,D,23,0,0,0,-0.3,0,0,0,0,0,0,0,19,0,465,20:14,4000000,6656250
354,Ryan Parent,D,1,0,0,0,0,0,0,0,0,0,0,0,1,0,14,14:10,850000,750000
355,Roman Polák,D,19,0,0,0,0,0,0,0,0,0,0,0,13,0,259,13:38,550000,187500
356,Rob Schremp,C,1,0,0,0,0,0,0,0,0,0,0,0,2,0,14,13:50,841667,734375
357,Andrej Sekera,D,2,0,0,0,0.1,0,0,0,0,0,0,0,0,,15,7:31,650000,375000
358,Nate Thompson,C,4,0,0,0,0,0,0,0,0,0,0,0,5,0,19,4:46,483333,62499
359,Lauri Tukonen,RW,4,0,0,0,-0.1,0,0,0,0,0,0,0,1,0,26,6:33,885767,817063
